imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.05596263723156847, 0.01944121440592117, -0.059138373404043425, -0.012002268006337571, 0.09067109031753752, -0.13237149751155142, -1.7662447095613072, -0.5616306066384297, 51041000000, 
-0.0771317293153854, -0.025585877966749628, -0.06574548041973115, -0.012123539173387059, 0.09113892811325087, -0.13302262188471353, -1.7571754227467304, -0.5660701262276316, 51144000000, 
-0.04316324872247568, 0.0013428528982775134, -0.056642616951570704, -0.012009209775519792, 0.0905322630119217, -0.13265116076838115, -1.748334413179188, -0.5705533149101256, 51239000000, 
-0.07040604202311815, -0.015338026321108502, -0.061636139938917874, -0.01207376110490237, 0.09075285442879266, -0.13304001489425102, -1.739450108664206, -0.5752004835407277, 51335000000, 
-0.06587394505762612, -0.00261441414576777, -0.06295637405306989, -0.011967213688993101, 0.09014131101520058, -0.13276059061283305, -1.7307046680780975, -0.5799261740645646, 51440000000, 
-0.06901154308816235, -0.02373936114323934, -0.06490250847724649, -0.012115458882324537, 0.09074607572107582, -0.13350945245900828, -1.7218859653551797, -0.5848413017577035, 51540000000, 
-0.020374670983145413, -0.056843486903831876, -0.047080400954120805, -0.012690834457745746, 0.09384456785832929, -0.13523248864978768, -1.7129635579609794, -0.5899789207741866, 51635000000, 
-0.07077378662172884, -0.06004408358233847, -0.055898732301023615, -0.013038142494062576, 0.09545821309577888, -0.1365848162376624, -1.703962682517404, -0.5953187028544313, 51727000000, 
-0.05278100491618293, -0.02601256500711109, -0.05440771951424895, -0.012931252302070794, 0.09471074175219305, -0.13653416774947144, -1.695198732595709, -0.6006900643289407, 51833000000, 
-0.05318058466027729, -0.007167399596681667, -0.05369712217886764, -0.012709906483883206, 0.09330833071068058, -0.136214059206488, -1.6866805198527928, -0.6060736324857693, 51938000000, 
-0.05753897881994388, 0.012257140265101666, -0.054988821199969076, -0.012404628972829394, 0.09137291120029191, -0.13575827682274574, -1.6784436558914617, -0.6114376324131765, 52033000000, 
-0.07370671524401863, -0.04184099659337956, -0.06185249744016331, -0.012773951704847753, 0.09261900884311626, -0.13791933064717907, -1.6699024808167444, -0.6171564641519189, 52133000000, 
-0.055565868858266, -0.018168160649681523, -0.05907475089649691, -0.012811751193183703, 0.09228329965543743, -0.13883065777902992, -1.6615800025555485, -0.6229047791818142, 52234000000, 
-0.06421253420210886, -0.004431523761846708, -0.06078074843243322, -0.012699674409158668, 0.09122932864713056, -0.13920604916737062, -1.6533806912483255, -0.6287369693861866, 52329000000, 
